Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,value
Afghanistan,AFG,Total,TOT,Afghanistan,AFG,0
Afghanistan,AFG,Total,TOT,Albania,ALB,0
Afghanistan,AFG,Total,TOT,Algeria,DZA,8
Afghanistan,AFG,Total,TOT,American Samoa,ASM,0
Afghanistan,AFG,Total,TOT,Andorra,AND,6
Afghanistan,AFG,Total,TOT,Angola,AGO,0
Afghanistan,AFG,Total,TOT,Anguilla,AIA,0
Afghanistan,AFG,Total,TOT,Antigua and Barbuda,ATG,0
Afghanistan,AFG,Total,TOT,Argentina,ARG,0
Afghanistan,AFG,Total,TOT,Armenia,ARM,7
Afghanistan,AFG,Total,TOT,Aruba,ABW,0
Afghanistan,AFG,Total,TOT,Australia,AUS,11128
Afghanistan,AFG,Total,TOT,Austria,AUT,2488
Afghanistan,AFG,Total,TOT,Azerbaijan,AZE,0
Afghanistan,AFG,Total,TOT,"Bahamas, The",BHS,0
Afghanistan,AFG,Total,TOT,Bahrain,BHR,34419
Afghanistan,AFG,Total,TOT,Bangladesh,BGD,158
Afghanistan,AFG,Total,TOT,Barbados,BRB,0
Afghanistan,AFG,Total,TOT,Belarus,BLR,0
Afghanistan,AFG,Total,TOT,Belgium,BEL,209
Afghanistan,AFG,Total,TOT,Belize,BLZ,3
Afghanistan,AFG,Total,TOT,Benin,BEN,0
Afghanistan,AFG,Total,TOT,Bermuda,BMU,4
Afghanistan,AFG,Total,TOT,Bhutan,BTN,0
Afghanistan,AFG,Total,TOT,Bolivia,BOL,2
Afghanistan,AFG,Total,TOT,Bosnia and Herzegovina,BIH,2
Afghanistan,AFG,Total,TOT,Botswana,BWA,0
Afghanistan,AFG,Total,TOT,Brazil,BRA,28
Afghanistan,AFG,Total,TOT,Brunei Darussalam,BRN,0
Afghanistan,AFG,Total,TOT,Bulgaria,BGR,826
Afghanistan,AFG,Total,TOT,Burkina Faso,BFA,0
Afghanistan,AFG,Total,TOT,Burundi,BDI,0
Afghanistan,AFG,Total,TOT,Cambodia,KHM,3
Afghanistan,AFG,Total,TOT,Cameroon,CMR,0
Afghanistan,AFG,Total,TOT,Canada,CAN,21969
Afghanistan,AFG,Total,TOT,Cape Verde,CPV,0
Afghanistan,AFG,Total,TOT,Cayman Islands,CYM,0
Afghanistan,AFG,Total,TOT,Central African Republic,CAF,0
Afghanistan,AFG,Total,TOT,Chad,TCD,1
Afghanistan,AFG,Total,TOT,Channel Islands,CHI,0
Afghanistan,AFG,Total,TOT,Chile,CHL,14
Afghanistan,AFG,Total,TOT,China,CHN,66
Afghanistan,AFG,Total,TOT,Colombia,COL,93
Afghanistan,AFG,Total,TOT,Comoros,COM,0
Afghanistan,AFG,Total,TOT,"Congo, Dem. Rep.",COD,3
Afghanistan,AFG,Total,TOT,"Congo, Rep.",COG,0
Afghanistan,AFG,Total,TOT,Cook Islands,COK,0
Afghanistan,AFG,Total,TOT,Costa Rica,CRI,3
Afghanistan,AFG,Total,TOT,Cote d'Ivoire,CIV,0
Afghanistan,AFG,Total,TOT,Croatia,HRV,2
Afghanistan,AFG,Total,TOT,Cuba,CUB,0
Afghanistan,AFG,Total,TOT,Cyprus,CYP,4
Afghanistan,AFG,Total,TOT,Czech Republic,CZE,211
