Alabama,67,AL
Alaska,29,AK
Arizona,15,AZ
Arkansas,75,AR
California,58,CA
Colorado,64,CO
Connecticut,8,CT
Delaware,3,DE
District of Columbia,1,DC
Florida,67,FL
Georgia,159,GA
Hawaii,5,HI
Idaho,44,ID
Illinois,102,IL
Indiana,92,IN
Iowa,99,IA
Kansas,105,KS
Kentucky,120,KY
Louisiana,64,LA
Maine,16,ME
Maryland,24,MD
Massachusetts,14,MA
Michigan,83,MI
Minnesota,87,MN
Mississippi,82,MS
Missouri,115,MO
Montana,56,MT
Nebraska,93,NE
Nevada,17,NV
New Hampshire,10,NH
New Jersey,21,NJ
New Mexico,33,NM
New York,62,NY
North Carolina,100,NC
North Dakota,53,ND
Ohio,88,OH
Oklahoma,77,OK
Oregon,36,OR
Pennsylvania,67,PA
Puerto Rico,78,PR
Rhode Island,5,RI
South Carolina,46,SC
South Dakota,66,SD
Tennessee,95,TN
Texas,254,TX
Utah,29,UT
Vermont,14,VT
Virginia,133,VA
Washington,39,WA
West Virginia,55,WV
Wisconsin,72,WI
Wyoming,23,WY
